Content,Emotion_predicted
The biggest mistake every single government around the world made is sent the message that only old people die from,worry
Last night we teamed up with to pay tribute to the front line health professionals and local heroes who are,fun
Aid workers warn a Covid 19 outbreak could lead to enormous loss of life among Rohingya refugees,neutral
Former India football team captain Bhaichung Bhutia offers shelter to migrant workers battling COVID 19 pandemic in Sikkim IndianFootball,happiness
Donald Trump sent 18 tons of medical equipment to China weeks before COVID came to America because he didn t take t,worry
Social distancing tips while outdoors Avoid crowded areas and busy times Keep your pet from interacting with,fun
This is a must read Especially the doctor warning,worry
Thanks to everyone for their support I was able to squeeze this out in the very tiny period of time I had last wee,relief
Yesterday s COVID 19 This is NOT exponential mortality growth cases are growing fast but those are already unde,neutral
UAE ranks sixth on global scale of Covid 19 testing Rise in number of completed tests give authorities best chanc,happiness
TCS partners with CSIR to find cure for covid 19 using AI and identifying potential molecules which can then be te,neutral
I wrote this article last week calling on the Government to stop giving a misleading impression on the number of Co,worry
STPINEWS While lauding the spirit of STPIINDIA employees who have voluntarily contributed 1 day salary to,neutral
This is a must read Especially the doctor warning,worry
Thanks to everyone for their support I was able to squeeze this out in the very tiny period of time I had last wee,relief
There have been many preventive measures taken to counter the spread of COVID 19 Let s do our part in making every,worry
This is one of those columns where even I m not convinced I m right After reading the 50th take that the,worry
Are you from Gaza Do you have a creative amp entrepreneurial idea that can support combating Covid 19 Thanks t,fun
I was asked to enlist how Covid 19 will impact Pakistan s Economy and way forward by daily PakistanToday Here,worry
StrongerTogether WeAreNATO Emergency Covid 19 more flights by the to transport urgently need,happiness
U S deaths in perspective H1N1 1918 1920 675 000 H1N1 swine flu 2009 10 12 469 0 2 mortality rate Co,worry
I didn t sign up to die on my job Fear and anger among nurses battling COVID19 pandemic by arthur,worry
I was asked to enlist how Covid 19 will impact Pakistan s Economy and way forward by daily PakistanToday Here,worry
StrongerTogether WeAreNATO Emergency Covid 19 more flights by the to transport urgently need,happiness
